episode,reward,epsilon
585,3.0,0.09999999999999998
586,19.0,0.09999999999999998
587,20.0,0.09999999999999998
588,-1.0,0.09999999999999998
589,11.0,0.09999999999999998
590,-3.0,0.09999999999999998
591,2.0,0.09999999999999998
592,-2.0,0.09999999999999998
593,0.0,0.09999999999999998
594,-4.0,0.09999999999999998
595,17.0,0.09999999999999998
596,-9.0,0.09999999999999998
597,8.0,0.09999999999999998
598,7.0,0.09999999999999998
599,9.0,0.09999999999999998
600,7.0,0.09999999999999998
601,4.0,0.09999999999999998
602,4.0,0.09999999999999998
603,7.0,0.09999999999999998
604,-8.0,0.09999999999999998
605,10.0,0.09999999999999998
606,30.0,0.09999999999999998
607,5.0,0.09999999999999998
608,9.0,0.09999999999999998
609,1.0,0.09999999999999998
610,2.0,0.09999999999999998
611,2.0,0.09999999999999998
612,20.0,0.09999999999999998
613,11.0,0.09999999999999998
614,1.0,0.09999999999999998
615,19.0,0.09999999999999998
616,4.0,0.09999999999999998
617,3.0,0.09999999999999998
618,17.0,0.09999999999999998
619,5.0,0.09999999999999998
620,1.0,0.09999999999999998
621,12.0,0.09999999999999998
622,-4.0,0.09999999999999998
623,-4.0,0.09999999999999998
624,-1.0,0.09999999999999998
625,4.0,0.09999999999999998
626,4.0,0.09999999999999998
627,2.0,0.09999999999999998
628,9.0,0.09999999999999998
629,17.0,0.09999999999999998
630,-5.0,0.09999999999999998
631,-7.0,0.09999999999999998
632,4.0,0.09999999999999998
633,9.0,0.09999999999999998
634,11.0,0.09999999999999998
635,0.0,0.09999999999999998
636,7.0,0.09999999999999998
637,17.0,0.09999999999999998
638,6.0,0.09999999999999998
639,14.0,0.09999999999999998
640,10.0,0.09999999999999998
641,5.0,0.09999999999999998
642,5.0,0.09999999999999998
643,3.0,0.09999999999999998
644,6.0,0.09999999999999998
645,6.0,0.09999999999999998
646,1.0,0.09999999999999998
647,5.0,0.09999999999999998
648,-1.0,0.09999999999999998
649,-2.0,0.09999999999999998
650,4.0,0.09999999999999998
651,11.0,0.09999999999999998
652,6.0,0.09999999999999998
653,22.0,0.09999999999999998
654,0.0,0.09999999999999998
655,5.0,0.09999999999999998
656,2.0,0.09999999999999998
657,10.0,0.09999999999999998
658,14.0,0.09999999999999998
659,6.0,0.09999999999999998
660,3.0,0.09999999999999998
661,17.0,0.09999999999999998
662,14.0,0.09999999999999998
663,3.0,0.09999999999999998
664,17.0,0.09999999999999998
665,6.0,0.09999999999999998
666,2.0,0.09999999999999998
667,8.0,0.09999999999999998
668,5.0,0.09999999999999998
669,9.0,0.09999999999999998
670,5.0,0.09999999999999998
671,16.0,0.09999999999999998
672,16.0,0.09999999999999998
673,21.0,0.09999999999999998
674,14.0,0.09999999999999998
675,13.0,0.09999999999999998
676,14.0,0.09999999999999998
677,16.0,0.09999999999999998
678,8.0,0.09999999999999998
679,16.0,0.09999999999999998
680,7.0,0.09999999999999998
681,15.0,0.09999999999999998
682,19.0,0.09999999999999998
683,6.0,0.09999999999999998
684,20.0,0.09999999999999998
685,9.0,0.09999999999999998
686,17.0,0.09999999999999998
687,4.0,0.09999999999999998
688,2.0,0.09999999999999998
689,-1.0,0.09999999999999998
690,13.0,0.09999999999999998
691,9.0,0.09999999999999998
692,4.0,0.09999999999999998
693,13.0,0.09999999999999998
694,6.0,0.09999999999999998
695,7.0,0.09999999999999998
696,6.0,0.09999999999999998
697,14.0,0.09999999999999998
698,9.0,0.09999999999999998
699,13.0,0.09999999999999998
700,5.0,0.09999999999999998
701,19.0,0.09999999999999998
702,17.0,0.09999999999999998
703,12.0,0.09999999999999998
704,4.0,0.09999999999999998
705,5.0,0.09999999999999998
706,-3.0,0.09999999999999998
707,6.0,0.09999999999999998
708,3.0,0.09999999999999998
709,3.0,0.09999999999999998
710,18.0,0.09999999999999998
711,13.0,0.09999999999999998
712,9.0,0.09999999999999998
713,13.0,0.09999999999999998
714,7.0,0.09999999999999998
715,14.0,0.09999999999999998
716,-3.0,0.09999999999999998
717,16.0,0.09999999999999998
718,11.0,0.09999999999999998
719,-6.0,0.09999999999999998
720,3.0,0.09999999999999998
721,-2.0,0.09999999999999998
722,6.0,0.09999999999999998
723,19.0,0.09999999999999998
724,8.0,0.09999999999999998
725,4.0,0.09999999999999998
726,7.0,0.09999999999999998
727,18.0,0.09999999999999998
728,8.0,0.09999999999999998
729,1.0,0.09999999999999998
730,0.0,0.09999999999999998
731,8.0,0.09999999999999998
732,18.0,0.09999999999999998
733,29.0,0.09999999999999998
734,14.0,0.09999999999999998
735,11.0,0.09999999999999998
736,19.0,0.09999999999999998
737,4.0,0.09999999999999998
738,22.0,0.09999999999999998
739,16.0,0.09999999999999998
740,0.0,0.09999999999999998
741,6.0,0.09999999999999998
742,4.0,0.09999999999999998
743,20.0,0.09999999999999998
744,13.0,0.09999999999999998
745,3.0,0.09999999999999998
746,8.0,0.09999999999999998
747,-3.0,0.09999999999999998
748,6.0,0.09999999999999998
749,-3.0,0.09999999999999998
750,8.0,0.09999999999999998
751,6.0,0.09999999999999998
752,10.0,0.09999999999999998
753,7.0,0.09999999999999998
754,11.0,0.09999999999999998
755,7.0,0.09999999999999998
756,9.0,0.09999999999999998
757,26.0,0.09999999999999998
758,9.0,0.09999999999999998
759,-3.0,0.09999999999999998
760,14.0,0.09999999999999998
761,-1.0,0.09999999999999998
762,10.0,0.09999999999999998
763,2.0,0.09999999999999998
764,-5.0,0.09999999999999998
765,4.0,0.09999999999999998
766,22.0,0.09999999999999998
767,0.0,0.09999999999999998
768,9.0,0.09999999999999998
769,14.0,0.09999999999999998
770,14.0,0.09999999999999998
771,6.0,0.09999999999999998
772,3.0,0.09999999999999998
773,6.0,0.09999999999999998
774,9.0,0.09999999999999998
775,-1.0,0.09999999999999998
776,2.0,0.09999999999999998
777,12.0,0.09999999999999998
778,5.0,0.09999999999999998
779,9.0,0.09999999999999998
780,7.0,0.09999999999999998
781,8.0,0.09999999999999998
782,10.0,0.09999999999999998
783,12.0,0.09999999999999998
784,19.0,0.09999999999999998
785,17.0,0.09999999999999998
786,17.0,0.09999999999999998
787,9.0,0.09999999999999998
788,4.0,0.09999999999999998
789,10.0,0.09999999999999998
790,25.0,0.09999999999999998
791,22.0,0.09999999999999998
792,21.0,0.09999999999999998
793,5.0,0.09999999999999998
794,6.0,0.09999999999999998
795,6.0,0.09999999999999998
796,0.0,0.09999999999999998
797,11.0,0.09999999999999998
798,14.0,0.09999999999999998
799,5.0,0.09999999999999998
800,6.0,0.09999999999999998
801,4.0,0.09999999999999998
802,11.0,0.09999999999999998
803,-1.0,0.09999999999999998
804,17.0,0.09999999999999998
805,5.0,0.09999999999999998
806,15.0,0.09999999999999998
807,9.0,0.09999999999999998
808,6.0,0.09999999999999998
809,20.0,0.09999999999999998
810,0.0,0.09999999999999998
811,14.0,0.09999999999999998
812,8.0,0.09999999999999998
813,14.0,0.09999999999999998
814,15.0,0.09999999999999998
815,23.0,0.09999999999999998
816,6.0,0.09999999999999998
817,1.0,0.09999999999999998
818,7.0,0.09999999999999998
819,9.0,0.09999999999999998
820,4.0,0.09999999999999998
821,10.0,0.09999999999999998
822,8.0,0.09999999999999998
823,5.0,0.09999999999999998
824,9.0,0.09999999999999998
825,19.0,0.09999999999999998
826,6.0,0.09999999999999998
827,13.0,0.09999999999999998
828,26.0,0.09999999999999998
829,1.0,0.09999999999999998
830,13.0,0.09999999999999998
831,3.0,0.09999999999999998
832,10.0,0.09999999999999998
833,0.0,0.09999999999999998
834,13.0,0.09999999999999998
835,2.0,0.09999999999999998
836,10.0,0.09999999999999998
837,12.0,0.09999999999999998
838,13.0,0.09999999999999998
839,13.0,0.09999999999999998
840,5.0,0.09999999999999998
841,14.0,0.09999999999999998
842,-1.0,0.09999999999999998
843,7.0,0.09999999999999998
844,20.0,0.09999999999999998
845,2.0,0.09999999999999998
846,10.0,0.09999999999999998
847,36.0,0.09999999999999998
848,4.0,0.09999999999999998
849,-3.0,0.09999999999999998
850,-7.0,0.09999999999999998
851,22.0,0.09999999999999998
852,-5.0,0.09999999999999998
853,26.0,0.09999999999999998
854,16.0,0.09999999999999998
855,7.0,0.09999999999999998
856,-1.0,0.09999999999999998
857,19.0,0.09999999999999998
858,10.0,0.09999999999999998
859,6.0,0.09999999999999998
860,3.0,0.09999999999999998
861,2.0,0.09999999999999998
862,1.0,0.09999999999999998
863,9.0,0.09999999999999998
864,15.0,0.09999999999999998
865,15.0,0.09999999999999998
866,3.0,0.09999999999999998
867,7.0,0.09999999999999998
868,9.0,0.09999999999999998
869,12.0,0.09999999999999998
870,12.0,0.09999999999999998
871,18.0,0.09999999999999998
872,-4.0,0.09999999999999998
873,15.0,0.09999999999999998
874,4.0,0.09999999999999998
875,5.0,0.09999999999999998
876,1.0,0.09999999999999998
877,5.0,0.09999999999999998
878,-5.0,0.09999999999999998
879,5.0,0.09999999999999998
880,19.0,0.09999999999999998
881,23.0,0.09999999999999998
882,5.0,0.09999999999999998
883,9.0,0.09999999999999998
884,6.0,0.09999999999999998
885,10.0,0.09999999999999998
886,7.0,0.09999999999999998
887,7.0,0.09999999999999998
888,13.0,0.09999999999999998
889,3.0,0.09999999999999998
890,8.0,0.09999999999999998
891,3.0,0.09999999999999998
892,17.0,0.09999999999999998
893,2.0,0.09999999999999998
894,5.0,0.09999999999999998
895,2.0,0.09999999999999998
896,10.0,0.09999999999999998
897,-3.0,0.09999999999999998
898,20.0,0.09999999999999998
899,4.0,0.09999999999999998
900,8.0,0.09999999999999998
901,5.0,0.09999999999999998
902,3.0,0.09999999999999998
903,14.0,0.09999999999999998
904,5.0,0.09999999999999998
905,6.0,0.09999999999999998
906,29.0,0.09999999999999998
907,17.0,0.09999999999999998
908,14.0,0.09999999999999998
909,8.0,0.09999999999999998
910,12.0,0.09999999999999998
911,12.0,0.09999999999999998
912,1.0,0.09999999999999998
913,9.0,0.09999999999999998
914,12.0,0.09999999999999998
915,20.0,0.09999999999999998
916,16.0,0.09999999999999998
917,8.0,0.09999999999999998
918,21.0,0.09999999999999998
919,13.0,0.09999999999999998
